"Drug","Serious - More common","Serious - Less common","Serious - Rare","Serious - Incidence not known","Serious - More common in children","Symptoms of overdose","More common","Less common","Rare","Incidence not known"
"atomoxetine",,"Hives or welts; irregular heartbeat; itching; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; redness of the skin; skin rash; ","Painful, prolonged erection of your penis; ","Convulsions; dark colored urine; fainting; flu-like symptoms; loss of bladder control; muscle spasm or jerking of all extremities; pelvic pain in male; right upper belly pain or tenderness; sudden loss of consciousness; yellow eyes or skin; ",,,"Acid or sour stomach; belching; bleeding between periods; change in amount of bleeding during periods; change in pattern of monthly periods; cough; decrease in the frequency of urination; decrease in urine amount; decreased appetite; decreased interest in sexual intercourse; difficulty having a bowel movement (stool); difficulty in passing urine (dribbling); dizziness; dry mouth; fever; headache; heartburn; heavy bleeding; inability to have or keep an erection; indigestion; irritability; loss in sexual ability, desire, drive, or performance; nausea; pain or tenderness around the eyes and cheekbones; painful urination; shortness of breath; sleepiness or unusual drowsiness; stomach discomfort, upset, cramps, or pain; stuffy or runny nose; tightness of the chest; trouble sleeping; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual stopping of menstrual bleeding; unusual tiredness or weakness; vomiting; ","Abnormal dreams; abnormal orgasm; back pain; blistering, crusting, irritation, itching, or reddening of the skin; bloated or full feeling; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in hearing; change or problem with discharge of semen; chills; cold sweats; confusion; cough; cracked, dry, or scaly skin; crying; decreased weight; diarrhea; difficulty with moving; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; ear drainage; earache or pain in the ear; excess air or gas in the stomach or intestines; feeling of warmth, redness of the face, neck, arms, and occasionally, upper chest; feeling unusually cold; frequent urination; general feeling of discomfort or illness; groin pain; increased or sudden sweating; joint pain; loss of appetite; mood swings; muscle aches, cramping, pains, or stiffness; pain or burning with urination; passing gas; shivering; sinus headache; sleep disorder; swelling of the skin; swollen joints; swollen, tender prostate",,
"brexpiprazole",,,"Chills; cold sweats; confusion; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position; fainting; ","Black, tarry stools; changes in behavior; chest pain; cough; difficulty breathing; fast heartbeat; fever with or without chills; general feeling of tiredness or weakness; high fever; hoarseness; inability to move the eyes; increased blinking or spasms of the eyelid; increased sweating; lip smacking or puckering; loss of bladder control; lower back or side pain; painful or difficult urination; puffing of the cheeks; rapid or worm-like movements of the tongue; seizures; severe muscle stiffness; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sticking out of the tongue; swollen glands; thoughts of killing oneself; trouble breathing, speaking, or swallowing; uncontrolled chewing movements; uncontrolled movements of the arms and legs; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual bleeding or bruising; unusual facial expressions; unusual tiredness or weakness; unusually pale skin; ",,,"Belching; headache; heartburn; inability to sit still; indigestion; muscle aches; need to keep moving; restlessness; sleepiness or unusual drowsiness; stomach discomfort, upset, or pain; stuffy or runny nose; weight gain; ","Bloated or full feeling; bloody or cloudy urine; blurred vision; diarrhea; difficulty having a bowel movement; difficulty with moving; dizziness; dry mouth; excess air or gas in the stomach or bowels; fear or nervousness; frequent urge to urinate; increased appetite; increased sweating; joint pain; muscle ache, cramp, pain, or stiffness; passing gas; shakiness in the legs, arms, hands, or feet; swollen joints; trouble sleeping",,
"bupropion","Anxiety; dry mouth; hyperventilation; irregular heartbeats; irritability; restlessness; shaking; trouble sleeping; ","Buzzing or ringing in the ears; headache (severe); skin rash, hives, or itching; ","Confusion; fainting; false beliefs that cannot be changed by facts; having extreme distrust of people; seeing, hearing, or feeling things that are not there; seizures; trouble concentrating; ","Actions that are out of control; anger; assaulting or attacking others; being aggressive or impulsive; chest pain or discomfort; fast or pounding heartbeat; force; inability to sit still; need to keep moving; sweating; talking, feeling, or acting with excitement; ",,,"Constipation; decrease in appetite; dizziness; increased sweating; stomach pain; trembling; unusual weight loss; ","Blurred vision; change in sense of taste; drowsiness; frequent need to urinate; sore throat; unusual feeling of well-being",,
"buspirone",,,"Chest pain; confusion; fast or pounding heartbeat; fever; incoordination; mental depression; muscle weakness; numbness, tingling, pain, or weakness in the hands or feet; skin rash or hives; sore throat; stiffness of the arms or legs; uncontrolled movements of the body; ",,,"Dizziness or lightheadedness especially when getting up from a sitting or lying position suddenly; drowsiness (severe); loss of consciousness; nausea or vomiting; stomach upset; very small pupils of the eyes; ","Restlessness, nervousness, or unusual excitement; ","r rare; Blurred vision; clamminess or sweating; decreased concentration; diarrhea; drowsiness; dryness of the mouth; muscle pain, spasms, cramps, or stiffness; ringing in the ears; trouble with sleeping, nightmares, or vivid dreams; unusual tiredness or weakness",,
"carbamazepine","Blurred vision or double vision; continuous back-and-forth eye movements; ","Actions that are out of control; behavioral changes (especially in children); confusion, agitation, or hostility (especially in the elderly); diarrhea (severe); discouragement; drooling; fear; feeling of unreality; feeling sad or empty; headache (continuing); increase in seizures; irritability; lack of appetite; loss of balance control; loss of interest or pleasure; muscle trembling, jerking, or stiffness; nausea (severe); other problems with muscle control or coordination; sense of detachment from self or body; shakiness and unsteady walk; shuffling walk; stiffness of the arm or leg; sudden, wide mood swings; talking, feeling, and acting with excitement; thoughts or attempts of killing oneself; tiredness; trouble concentrating; trouble sleeping; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; unusual drowsiness; vomiting (severe); ","Black, tarry stools; blood in the urine or stools; bone or joint pain; chest pain; cough; darkening of the urine; difficulty with speaking or slurred speech; fainting; frequent urination; hoarseness; irregular, pounding, or unusually slow heartbeat; lower back or side pain; mental depression with restlessness and nervousness or other mood or mental changes; muscle or stomach cramps; nosebleeds or other unusual bleeding or bruising; numbness, tingling, pain, or weakness in the hands and feet; pain, tenderness, swelling, or bluish color in the leg or foot; painful or difficult urination; pale stools; pinpoint red spots on the skin; rapid weight gain; rigidity; ringing, buzzing, or other unexplained sounds in the ears; skin rash, hives, or itching; sores, ulcers, or white spots on the lips or in the mouth; swelling of the face, hands, feet, or lower legs; swollen or painful glands; sudden decrease in the amount of urine; tightness in the chest; trembling; troubled breathing; uncontrolled body movements; unusual tiredness or weakness; visual hallucinations (seeing things that are not there); yellow eyes or skin; ","Blistering, peeling, or loosening of the skin; decreased urine output; dilated neck veins; extreme tiredness or weakness; general feeling of discomfort or illness; irregular breathing; irregular heartbeat; joint or muscle pain; red skin lesions, often with a purple center; red, irritated eyes; swelling of the face, fingers, feet, or lower legs; thickening of bronchial secretions; unusual bleeding or bruising; weight gain; ",,,"Dizziness (mild); drowsiness (mild); lightheadedness; nausea (mild); vomiting (mild); ",,,"Accidental injury; aching joints or muscles; back pain; belching; constipation; diarrhea; dryness of the mouth; headache; heartburn; increased sensitivity of the skin to sunlight (skin rash, itching, redness or other discoloration of the skin, or severe sunburn); increased sweating; indigestion; irritation or soreness of the tongue or mouth; lack or loss of strength; loss of hair; loss of memory; problems with memory; sexual problems in males; sleepiness; stomach pain, upset, or discomfort"
"cariprazine","Blurred vision; chills; dizziness; drooling; fever; headache; inability to move the eyes; inability to sit still; increased blinking or spasms of the eyelid; loss of balance control; muscle trembling, jerking, or stiffness; need to keep moving; nervousness; pounding in the ears; restlessness; shuffling walk; slow or fast heartbeat; sticking out of the tongue; stiffness of the limbs; trouble with breathing, speaking, or swallowing; twisting movements of the body; uncontrolled movements, especially of the face, neck, arms, or legs; unusual facial expressions; ","Bladder pain; bloody or cloudy urine; confusion; decreased urine output; difficult, burning, or painful urination; dizziness; fast, pounding, or irregular heartbeat or pulse; frequent urge to urinate; increased thirst; loss of consciousness; lower back or side pain; muscle aches, pain, or cramps; nausea; seizures; sore throat; stuffy or runny nose; swelling of the face, ankles, or hands; thoughts or attempts at killing oneself; unusual tiredness or weakness; vomiting; ","Burning feeling in the chest or stomach; dark urine; difficulty in speaking; double vision; general tiredness and weakness; inability to move the arms, legs, or facial muscles; inability to speak; indigestion; light-colored stools; muscle spasms or stiffness; slow speech; stomach upset; tenderness in the stomach area; upper right abdominal pain; yellow eyes and skin; ","Blistering, peeling, or loosening of the skin; confusion; cough; diarrhea; drooling; high fever; increased sweating; itching; joint pain; lip smacking or puckering; muscle trembling, jerking, or stiffness; puffing of the cheeks; rapid or worm-like movements of the tongue; red skin lesions, often with a purple center; red, irritated eyes; severe muscle stiffness; sores, ulcers, or white spots in the mouth or on the lips; uncontrolled chewing movements; unusually pale skin; ",,,"Decreased appetite; difficulty having a bowel movement; sleepiness or unusual drowsiness; stomach pain; trouble sleeping; ","Anxiety; back pain; belching; difficulty with moving; dry mouth; heartburn; indigestion; irritability; pain in the arms or legs; rash; shaking; weight gain",,
"chlordiazepoxide",,,"Fainting; mood or mental changes; shakiness and unsteady walk; unsteadiness, trembling, or other problems with muscle control or coordination; ","Abdominal and muscle cramps; chills; clay-colored stools; convulsions; cough or hoarseness; dark urine; difficulty in speaking; dizziness; drooling; fever with or without chills; general feeling of tiredness or weakness; headache; itching; light-colored stools; loss of appetite; loss of balance control; lower back or side pain; muscle trembling, jerking, or stiffness; nausea and vomiting; painful or difficult urination; pale skin; rash; restlessness; shakiness in the legs, arms, hands, or feet; shuffling walk; sleeplessness; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; stomach pain; sweating; swelling; trouble sleeping; twisting movements of the body; unable to sleep; uncontrolled movements, especially of the face, neck, and back; unpleasant breath odor; unusual bruising or bleeding; unusual tiredness or weakness; vomiting of blood; yellow eyes or skin; ",,"Change in consciousness; lack of coordination; loss of consciousness; sleepiness or unusual drowsiness; ",,,,"Decreased interest in sexual intercourse; difficulty having a bowel movement (stool); inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; loss in sexual ability, desire, drive, or performance; menstrual changes; skin blisters"
"citalopram",,"Agitation; blurred vision; confusion; fever; increase in the frequency of urination or amount of urine produced; lack of emotion; loss of memory; menstrual changes; skin rash or itching; trouble breathing; ","Behavior change similar to drunkenness; bleeding gums; breast tenderness or enlargement or unusual secretion of milk (in females); chills; convulsions (seizures); diarrhea; difficulty with concentrating; dizziness or fainting; drowsiness; increased hunger; increased thirst; irregular heartbeat; lack of energy; lethargy; nosebleed; overactive reflexes; painful urination; poor coordination; purple or red spots on the skin; rapid weight gain; red or irritated eyes; redness, tenderness, itching, burning, or peeling of the skin; shivering; slow or irregular heartbeat (less than 50 beats per minute); sore throat; stupor; sweating; swelling of the face, ankles, or hands; talking or acting with excitement you cannot control; trembling, shaking, or twitching; trouble with holding or releasing urine; unusual or sudden body or facial movements or postures; unusual tiredness or weakness ; ","Abdominal or stomach pain; back or leg pains; black, tarry stools; bloating; bloody stools; chest pain; confusion as to time, place, or person; constipation; cough; darkened urine; difficult or fast breathing; difficulty with swallowing; drooling; fast, slow, or irregular heartbeat; general body swelling; hive-like swelling on the face, eyelids, lips, tongue, or throat; hives; holding false beliefs that cannot be changed by fact; impaired consciousness, ranging from confusion to coma; indigestion; itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; loss of appetite; loss of bladder control; loss of consciousness; muscle cramps or spasms; muscle tightness; muscle twitching or jerking; painful or prolonged erection of the penis; pale skin; penile erections, frequent or continuing; recurrent fainting; rhythmic movement of the muscles; seeing, hearing, or feeling things that are not there; swelling of the breasts or unusual milk production; tenderness, pain, swelling, warmth, skin discoloration, and prominent superficial veins over the affected area; tightness in the chest; total body jerking; twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled jerking or twisting movements; unusual excitement; vomiting of blood or material that looks like coffee grounds; yellowing of the eyes or skin; ",,,"Decrease in sexual desire or ability; sleepiness or unusual drowsiness; ","Body aches or pain; change in sense of taste; gas; headache (severe and throbbing); heartburn; increased sweating; increased yawning; loss of voice; pain in the muscles or joints; sneezing; stuffy or runny nose; tingling, burning, or prickly feelings on the skin; tooth grinding; unusual increase or decrease in weight; watering of the mouth; ",,"Bruising; inability to sit still; large, flat, blue or purplish patches in the skin; need to keep moving; uncontrolled eye movements"
"clomipramine","Bladder pain; bloody or cloudy urine; blurred vision; body aches or pain; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; confusion; difficult, burning, or painful urination; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; excessive muscle tone; fear or nervousness; feeling sad or empty; fever; hearing changes; hives or welts, skin rash; irritability; lower back or side pain; muscle stiffness, tension, or tightness; poor concentration; rhythmic movement of muscles; sneezing; tightness of the chest; trouble breathing; unusual tiredness or weakness; voice changes; ","Anger that is hard to control; anxiety; breast enlargement; changes in vision; chest pain or discomfort; chills; decrease in the frequency of urination; deep or fast breathing with dizziness; difficulty in speaking; dry mouth; fast, irregular, pounding, or racing heartbeat or pulse; headache, severe and throbbing; nausea; numbness of the feet, hands, and around the mouth; numbness, tingling, pain, or weakness in the hands or feet; pain during sexual intercourse; paranoia; rapidly changing moods; restlessness; shaking; sores, ulcers, or white spots on the lips or tongue or inside the mouth; sweating; swelling of the face, fingers, feet, or lower legs; vomiting; ",,"Agitation; blindness; cough; decreased awareness or responsiveness; depression; dizziness; eye pain; hostility; increased thirst; loss of consciousness; muscle pain, cramps, or twitching; rapid weight gain; seizures; severe sleepiness; sore throat; swollen, painful, or tender lymph glands in the neck, armpit, or groin; tearing; unusual drowsiness, dullness, or feeling of sluggishness; yellow skin or eyes; ",,,"Blistering, crusting, irritation, itching, or reddening of the skin; change in taste; constipation; cracked, dry, or scaly skin; change in interest in sexual intercourse; diarrhea; dry skin; heartburn; inability to have or keep an erection; increased interest in sexual intercourse; joint pain or swelling; pimples; redness of the face, neck, arms, and occasionally, upper chest; shakiness in the legs, arms, hands, or feet; stomach discomfort, upset, or pain; swelling; trembling or shaking of the hands or feet; ","Absent, missed, or irregular menstrual periods; breast pain",,
"clonazepam","Body aches or pain; chills; cough; difficulty breathing; discouragement; dizziness; ear congestion; feeling sad or empty; fever; headache; irritability; lack of appetite; loss of interest or pleasure; loss of voice; nasal congestion; poor coordination; runny nose; shakiness and unsteady walk; sleepiness or unusual drowsiness; sneezing; sore throat; tiredness; trouble concentrating; trouble sleeping; unsteadiness, trembling, or other problems with muscle control or coordination; unusual tiredness or weakness; ","Being forgetful; bladder pain; bloody or cloudy urine; change in speech; diarrhea; difficult, burning, or painful urination; frequent urge to urinate; general feeling of discomfort or illness; joint pain; loss of appetite; lower back or side pain; mood or mental changes; muscle aches and pains; nausea; nervousness; problems in urination or increase in the amount of urine; shivering; slurred speech; sore throat; sweating; trouble speaking; vomiting; ","Burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; changes in skin color; chest pain or discomfort; cold sweats; colds; confusion; cough or hoarseness; difficulty with sleeping; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; excessive dreaming; excessive muscle tone; excitement; falling; fast, irregular, pounding, or racing heartbeat or pulse; feeling mad; feeling of unreality; flu-like symptoms; headache, severe and throbbing; lack of feeling or emotion; lack or loss of self-control; muscle stiffness; muscle tension or tightness; nightmares; pain, inflammation, or swelling in the calves, shoulders, or hands; pain or swelling in the arms or legs without any injury; pain, tenderness, or swelling of the foot or leg; partial or slight paralysis; scaling; sense of detachment from self or body; shakiness in the legs, arms, hands, or feet; skin rash; swelling around the eyes; swelling of the face, ankle, foot, or knees; thoughts of killing oneself changes in behavior; tightness in the chest; trembling or shaking of the hands or feet; uncaring; vision changes; ","Abdominal pain or fullness; anxiety; black, tarry stools; bleeding gums; blood in the urine or stools; change in consciousness; chest congestion; difficulty with coordination; double vision; drowsiness; dry mouth; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; hyperventilation; irregular, fast, slow, or shallow breathing; irregular, twisting uncontrolled movement of the face, hands, arms, or legs; loss of interest or pleasure; loss of memory; loss of strength or energy; loss of voice; muscle weakness; pale or blue lips, fingernails, or skin; pinpoint red spots on the skin; problems with memory; restlessness; severe mood or mental changes; sores, ulcers, or white spots on the lips or in the mouth; swollen glands; troubled breathing with exertion; uncontrolled eye movements; unusual behavior; unusual bleeding or bruising; unusual weakness; vivid dreams; weight loss or gain; ",,,,"Decreased interest in sexual intercourse; difficulty with swallowing; dryness or soreness of the throat; heavy bleeding; hives; inability to have or keep an erection; longer than usual time to ejaculation of semen; loss in sexual ability, desire, drive, or performance; pain or tenderness around the eyes and cheekbones; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; voice changes; ","Acid or sour stomach; ankle, knee, or great toe joint pain; belching; bleeding after defecation; blistering, burning, crusting, dryness, or flaking of the skin; bloated; blurred or loss of vision; change in color perception; cracks in the skin at the corners of the mouth; decrease or change in vision; difficulty moving; double vision; dryness of the eyes; earache; excess air or gas in stomach or intestines; feeling of constant movement of self or surroundings; feeling of warmth; frequent bowel movements; full feeling; hair loss or thinning of the hair; halos around lights; heartburn; increased watering of the mouth; indigestion; irregularities in menstruation; itching in the genital or other skin areas; itching, scaling, severe redness, soreness, or swelling of the skin; joint stiffness or swelling; leg or muscle cramps; loss of taste; night blindness; nosebleeds; overbright appearance of lights; pain in the breasts or pelvic area; pain in the leg, nape, or back; passing gas; red, sore eyes; redness of the face, neck, arms, and occasionally, upper chest; redness or swelling in the ear; sensation of spinning; smaller amount of semen ejaculated than usual; sore on the edge of the eyelid; soreness or redness around the fingernails and toenails; stomach discomfort, upset, or pain; thickening of the tongue; thirst; tooth disorder; toothache; tunnel vision; twitching of the eyes; uncomfortable swelling around the anus; worsening of acne; ","Burning feeling in the chest or stomach; difficulty having a bowel movement (stool); increased appetite; increased hair growth, especially on the face; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; sore gums; tenderness in the stomach area"
